139.91.2.0/24|8522|2914,1273,3329,12361,8522,8522,8522,8522,8522,8522|ris|rrc12|A|1532509346|2914
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc07|A|1532509532|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc10|A|1532509532|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc20|A|1532509532|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc13|A|1532509532|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc21|A|1532509532|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|routeviews|route-views.sg|A|1532509533|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|ris|rrc10|A|1532509534|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc11|A|1532509534|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|ris|rrc20|A|1532509534|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|ris|rrc13|A|1532509534|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|ris|rrc21|A|1532509534|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|ris|rrc07|A|1532509535|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|routeviews|route-views.sg|A|1532509535|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|ris|rrc11|A|1532509536|24482
139.91.0.0/16|8522|24482,174,21320,21320,21320,21320,5408,8522|routeviews|route-views4|A|1532509540|24482
139.91.0.0/16|8522|36236,16397,26615,6762,2603,21320,5408,8522|routeviews|route-views4|A|1532509546|36236
139.91.250.0/24|8522|2914,6762,56910,8522|ris|rrc12|A|1532509782|2914
139.91.0.0/16|8522|2914,1299,21320,21320,21320,21320,5408,8522|ris|rrc12|A|1532509787|2914
139.91.0.0/16|8522|24482,2603,21320,5408,8522|routeviews|route-views.sg|A|1532511223|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc13|A|1532511223|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc11|A|1532511223|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc10|A|1532511223|24482
139.91.0.0/16|8522|24482,2603,21320,5408,8522|ris|rrc20|A|1532511223|24482
